Item Code,Item Name
1,Aroma
2,Aroma
3,Aroma
4,Aroma
5,Aroma
6,Aroma
7,Aroma
8,Aroma
9,Aroma
10,Aroma
11,Aroma
12,Aroma
13,Aroma
14,Aroma
15,Aroma
16,Aroma
17,Aroma
18,Aroma
19,Aroma
20,Aroma
21,Aroma
22,Aroma
23,Aroma
24,Aroma
25,Aroma
26,Aroma
27,Aroma
28,Aroma
29,Aroma
30,Aroma
31,Aroma
32,Aroma
33,Aroma
34,Aroma
35,Aroma
36,Aroma
37,Aroma
38,Aroma
39,Aroma
40,Aroma
41,Aroma
42,Aroma
43,Aroma
44,Aroma
45,Aroma
300,Cake
330,Cake
350,Cake
250,Cake
380,Cake
480,Cake
450,Cake
400,Cake
430,Cake
550,Cake
600,Cake
650,Cake
700,Cake
1200,Cake
2122,Cake
1818,Foreign
747,Foreign- Chocoin
833,General
834,General
835,General
836,General
837,General
839,General
840,General
851,General
580,Warna Milk Powder
582,Warna Paneer
2104,Photoprint
581,warna
115,Chocolate Toast
120,
153,
229,
790,
847,
1017,
1018,
1019,
1020,
1021,
1022,
1024,
1025,
1098,
1100,
1101,
1111,
1160,
1162,
1163,
1164,
1210,
1216,
